	Unnamed							
Time	ax	ay	az	qx	qy	qz	qw
0,000	0,839	-0,670	0,062	0,900	0,103	0,240	0,355
0,016	0,916	-0,497	0,080	0,903	0,110	0,255	0,334
0,032	0,907	-0,284	0,090	0,904	0,114	0,274	0,314
0,048	0,856	-0,099	0,071	0,903	0,114	0,291	0,299
0,064	0,814	0,053	0,055	0,902	0,109	0,310	0,286
0,080	0,804	0,150	0,093	0,898	0,100	0,331	0,274
0,096	0,818	0,187	0,213	0,893	0,088	0,355	0,262
0,112	0,823	0,186	0,408	0,886	0,073	0,383	0,249
0,128	0,785	0,166	0,657	0,875	0,055	0,416	0,236
0,144	0,672	0,129	0,934	0,861	0,034	0,453	0,222
0,160	0,474	0,085	1,219	0,842	0,011	0,493	0,207
0,176	0,204	0,025	1,464	0,821	-0,016	0,534	0,193
0,192	-0,110	-0,064	1,572	0,797	-0,045	0,574	0,179
0,208	-0,434	-0,179	1,473	0,772	-0,077	0,609	0,165
0,224	-0,717	-0,313	1,172	0,747	-0,112	0,640	0,151
0,240	-0,903	-0,449	0,739	0,721	-0,148	0,665	0,138
0,256	-0,947	-0,537	0,258	0,694	-0,185	0,687	0,125
0,272	-0,868	-0,559	-0,191	0,664	-0,222	0,707	0,112
0,288	-0,747	-0,543	-0,576	0,631	-0,259	0,726	0,099
0,304	-0,634	-0,500	-0,931	0,593	-0,294	0,745	0,086
0,320	-0,542	-0,412	-1,293	0,552	-0,328	0,763	0,073
0,336	-0,478	-0,250	-1,645	0,511	-0,359	0,779	0,060
0,352	-0,428	-0,013	-1,934	0,471	-0,386	0,793	0,050
0,368	-0,364	0,256	-2,110	0,435	-0,408	0,804	0,043
0,384	-0,243	0,499	-2,149	0,407	-0,426	0,811	0,038
0,400	-0,036	0,664	-2,058	0,388	-0,438	0,815	0,036
0,416	0,290	0,720	-1,858	0,377	-0,446	0,815	0,035
0,432	0,635	0,654	-1,650	0,376	-0,448	0,813	0,037
0,448	0,968	0,506	-1,469	0,382	-0,448	0,809	0,040
0,464	1,223	0,321	-1,345	0,393	-0,445	0,804	0,045
0,480	1,350	0,145	-1,295	0,407	-0,441	0,798	0,054
0,496	1,310	0,007	-1,328	0,423	-0,436	0,791	0,066
0,512	1,096	-0,084	-1,448	0,440	-0,431	0,783	0,080
0,528	0,738	-0,136	-1,644	0,457	-0,426	0,774	0,099
0,544	0,288	-0,159	-1,877	0,476	-0,421	0,762	0,119
0,560	-0,194	-0,172	-2,093	0,497	-0,416	0,748	0,142
0,576	-0,656	-0,201	-2,259	0,520	-0,410	0,730	0,167
0,592	-1,065	-0,264	-2,372	0,546	-0,402	0,708	0,192
0,608	-1,414	-0,360	-2,442	0,575	-0,394	0,682	0,219
0,624	-1,729	-0,474	-2,457	0,606	-0,383	0,650	0,246
0,640	-2,054	-0,592	-2,395	0,637	-0,369	0,615	0,276
0,656	-2,428	-0,716	-2,212	0,668	-0,351	0,576	0,308
0,672	-2,834	-0,843	-1,843	0,696	-0,328	0,536	0,343
0,688	-3,183	-0,948	-1,215	0,720	-0,297	0,496	0,379
0,704	-3,312	-0,986	-0,298	0,740	-0,259	0,458	0,417
0,720	-3,074	-0,892	0,819	0,754	-0,211	0,422	0,455
0,736	-2,421	-0,621	1,945	0,763	-0,157	0,389	0,490
0,752	-1,412	-0,193	2,859	0,769	-0,098	0,357	0,521
0,768	-0,213	0,294	3,390	0,771	-0,039	0,328	0,546
0,784	1,085	0,747	3,471	0,772	0,022	0,298	0,567
0,800	2,030	0,980	3,169	0,772	0,067	0,274	0,578
0,816	2,700	1,059	2,657	0,772	0,101	0,254	0,584
0,832	3,164	1,046	2,069	0,772	0,123	0,239	0,586
0,848	3,530	0,987	1,514	0,773	0,132	0,229	0,585
0,864	3,456	0,900	1,173	0,773	0,126	0,224	0,585
0,880	2,694	0,684	1,105	0,773	0,109	0,221	0,586
0,896	1,386	0,358	1,175	0,773	0,083	0,218	0,589
0,912	-0,027	0,068	1,339	0,773	0,057	0,215	0,591
0,928	-1,136	-0,083	1,537	0,775	0,035	0,214	0,592
0,944	-1,755	-0,080	1,691	0,777	0,024	0,217	0,589
0,960	-1,858	0,044	1,747	0,782	0,024	0,222	0,581
0,976	-1,543	0,230	1,663	0,790	0,033	0,229	0,567
0,992	-0,968	0,410	1,435	0,800	0,048	0,236	0,547
1,008	-0,297	0,517	1,123	0,813	0,065	0,243	0,523
1,024	0,337	0,510	0,812	0,828	0,079	0,249	0,495
1,040	0,841	0,373	0,550	0,844	0,089	0,254	0,464
1,056	1,166	0,133	0,343	0,859	0,093	0,257	0,433
1,072	1,322	-0,150	0,185	0,874	0,092	0,260	0,404
1,088	1,346	-0,392	0,057	0,886	0,088	0,262	0,377
1,104	1,293	-0,541	-0,034	0,896	0,081	0,267	0,352
1,120	1,202	-0,594	-0,077	0,902	0,073	0,275	0,331
1,136	1,096	-0,566	-0,060	0,904	0,062	0,288	0,313
1,152	0,992	-0,482	0,027	0,903	0,049	0,308	0,299
1,168	0,886	-0,354	0,193	0,897	0,033	0,335	0,285
1,184	0,779	-0,242	0,378	0,889	0,016	0,364	0,276
1,200	0,634	-0,166	0,573	0,877	-0,004	0,396	0,269
1,216	0,433	-0,132	0,753	0,862	-0,026	0,430	0,264
1,232	0,184	-0,124	0,897	0,844	-0,050	0,465	0,260
1,248	-0,084	-0,118	0,984	0,823	-0,076	0,501	0,256
1,264	-0,344	-0,100	1,027	0,798	-0,102	0,537	0,253
1,280	-0,573	-0,085	1,036	0,770	-0,129	0,572	0,249
1,296	-0,761	-0,094	0,958	0,741	-0,156	0,606	0,245
1,312	-0,896	-0,127	0,744	0,712	-0,184	0,636	0,240
1,328	-0,964	-0,172	0,412	0,683	-0,211	0,662	0,233
1,344	-0,950	-0,213	0,040	0,656	-0,237	0,684	0,225
1,360	-0,866	-0,250	-0,316	0,628	-0,263	0,704	0,214
1,376	-0,730	-0,283	-0,648	0,599	-0,288	0,722	0,203
1,392	-0,568	-0,290	-0,928	0,568	-0,312	0,739	0,191
1,408	-0,395	-0,244	-1,137	0,537	-0,335	0,755	0,178
