;Time, s;Energy of impact, J;Cumulative energy - work, J;Power, W;time_diff
0;0,8;177,89020815918516;177,89020815918516;222,36276019898145;
1;1,872;204,77695399972697;382,6671621589121;204,41621910198296;1,072
2;2,928;162,4272398584491;545,0944020173612;186,1661209075687;1,0559999999999998
3;4,0;153,33425373665668;698,4286557540179;174,60716393850447;1,072
4;5,072;204,22843282945533;902,6570885834732;177,96866888475418;1,072
5;6,128;145,53939140638124;1048,1964799898544;171,05033942393186;1,056
6;7,28;167,30361744268248;1215,500097432537;166,96429909787594;1,1520000000000001
7;8,4;176,70691841113717;1392,207015843674;165,73893045758024;1,12
8;9,552;93,82615107584604;1486,0331669195202;155,57298648654944;1,1519999999999992
9;10,72;142,239095391897;1628,2722623114173;151,89106924546803;1,168000000000001
10;11,84;128,12901451479607;1756,4012768262135;148,34470243464642;1,1199999999999992
11;12,992;164,20702574982658;1920,60830257604;147,8300725504957;1,152000000000001
12;14,112;161,00387925548793;2081,612181831528;147,5065321592636;1,1199999999999992
13;15,216;135,68400083253775;2217,2961826640653;145,72135795636603;1,1039999999999992
14;16,384;148,4547735921943;2365,7509562562595;144,39397926368773;1,168000000000001
15;17,536;86,05864752578447;2451,809603782044;139,81578488720598;1,152000000000001
16;18,64;117,55306749649517;2569,3626712785394;137,84134502567272;1,1039999999999992
17;19,776;117,26072134226717;2686,6233926208065;135,85272009611683;1,1359999999999992
18;20,896;118,68023939431998;2805,3036320151264;134,25074808648193;1,120000000000001
19;22,064;102,54374984022772;2907,847381855354;131,79148757502512;1,1679999999999993
20;23,248;90,39101722831845;2998,2383990836724;128,96758426891228;1,184000000000001
21;24,4;84,37292716359971;3082,6113262472722;126,33652976423248;1,1519999999999975
22;25,568;112,46211465464896;3195,073440901921;124,96376098646437;1,1680000000000028
23;26,688;82,9358032680341;3278,0092441699553;122,82708498838262;1,1199999999999974
24;27,92;113,69784407625683;3391,707088246212;121,47948023804484;1,2320000000000029
25;29,12;70,3264153541371;3462,0335036003494;118,88851317308891;1,1999999999999993
